contact_n,month_n,duration,emp.var.rate,euribor3m,y_n
0.0,0.0,0.010982306284319707,0.9375,0.9573792790750397,0.0
1.0,0.8888888888888888,0.008338417734390889,0.33333333333333337,0.17479029698481074,0.0
1.0,0.2222222222222222,0.015863331299572913,1.0,0.9811834051235548,0.0
0.0,0.1111111111111111,0.013829570876550743,1.0,0.9589662208116074,0.0
0.0,0.1111111111111111,0.013626194834248526,1.0,0.9807299931988211,0.0
1.0,0.1111111111111111,0.06284319707138498,0.3541666666666667,0.02448424393561552,1.0
1.0,0.0,0.023998372991661583,0.33333333333333337,0.14327816821582406,0.0
1.0,0.2222222222222222,0.12263575350823673,1.0,0.9811834051235548,0.0
1.0,0.2222222222222222,0.08826520235916209,1.0,0.9825436408977557,0.0
1.0,0.2222222222222222,0.011795810453528574,1.0,0.9814101110859217,0.0
1.0,0.8888888888888888,0.0036607687614399025,0.33333333333333337,0.17479029698481074,0.0
1.0,0.8888888888888888,0.04026845637583893,0.33333333333333337,0.17479029698481074,0.0
1.0,0.2222222222222222,0.023591620907057152,1.0,0.9811834051235548,0.0
0.0,0.0,0.03803131991051455,0.9375,0.9573792790750397,0.0
1.0,0.2222222222222222,0.041692088671954446,1.0,0.9811834051235548,0.0
1.0,0.2222222222222222,0.014236322961155175,1.0,0.9809566991611882,0.0
0.0,0.1111111111111111,0.0052877770998576365,1.0,0.9807299931988211,0.0
1.0,0.2222222222222222,0.0410819605450478,1.0,0.9811834051235548,0.0
1.0,0.2222222222222222,0.04189546471425666,1.0,0.9814101110859217,0.0
0.0,0.0,0.04067520846044336,0.9375,0.9573792790750397,0.0
1.0,0.2222222222222222,0.03274354281065691,1.0,0.9814101110859217,0.0
1.0,0.2222222222222222,0.01403294691885296,1.0,0.9811834051235548,0.0
1.0,0.0,0.01077893024201749,0.33333333333333337,0.15075946497392884,0.0
1.0,0.0,0.06324994915598942,0.33333333333333337,0.1632282929041034,0.0
1.0,0.2222222222222222,0.03721781574130568,0.3541666666666667,0.039900249376558616,0.0
1.0,0.0,0.03213341468375026,0.33333333333333337,0.14327816821582406,0.0
1.0,0.1111111111111111,0.07158836689038031,0.10416666666666674,0.14327816821582406,0.0
0.0,0.0,0.024405125076266018,0.9375,0.9580593969621403,0.0
1.0,0.2222222222222222,0.02887939800691479,1.0,0.9802765812740877,0.0
0.0,0.1111111111111111,0.018303843807199516,1.0,0.9807299931988211,0.0
1.0,0.0,0.09782387634736628,0.33333333333333337,0.1466787576513262,1.0
1.0,0.0,0.017490339637990647,0.33333333333333337,0.15393334844706413,0.0
0.0,0.2222222222222222,0.06284319707138498,1.0,0.9814101110859217,0.0
0.0,0.0,0.05186089078706529,0.9375,0.9578326909997734,0.0
0.0,0.0,0.004881025015253203,0.9375,0.9576059850374066,0.0
1.0,0.8888888888888888,0.03315029489526134,0.33333333333333337,0.17479029698481074,0.0
0.0,0.0,0.01525320317266626,0.9375,0.9573792790750397,0.0
1.0,0.0,0.015659955257270694,0.33333333333333337,0.13965087281795513,0.0
1.0,0.2222222222222222,0.07524913565182022,0.10416666666666674,0.09294944457039223,1.0
0.0,0.1111111111111111,0.10819605450477934,1.0,0.9811834051235548,0.0
0.0,0.0,0.038844824079723415,0.9375,0.9571525731126729,0.0
0.0,0.2222222222222222,0.01728696359568843,1.0,0.9807299931988211,0.0
1.0,0.5555555555555556,0.20276591417531015,0.6875,0.7902969848107007,1.0
0.0,0.1111111111111111,0.07952003254016676,1.0,0.9811834051235548,0.0
1.0,0.0,0.05999593247915396,0.33333333333333337,0.1466787576513262,0.0
1.0,0.2222222222222222,0.11511083994305471,1.0,0.9800498753117208,1.0
1.0,0.2222222222222222,0.0193207240187106,1.0,0.9807299931988211,0.0
1.0,0.0,0.06996135855196257,0.33333333333333337,0.1586941736567672,0.0
1.0,0.8888888888888888,0.029896278218425873,0.33333333333333337,0.17479029698481074,0.0
0.0,1.0,0.018303843807199516,0.0,0.031512128768986625,1.0
1.0,0.0,0.04189546471425666,0.33333333333333337,0.13829063704375427,0.0
0.0,0.0,0.015049827130364044,0.33333333333333337,0.15075946497392884,0.0
0.0,0.1111111111111111,0.031116534472239173,1.0,0.9811834051235548,0.0
1.0,0.3333333333333333,0.05104738661785642,1.0,0.9820902289730222,0.0
1.0,0.2222222222222222,0.05247101891397194,1.0,0.9814101110859217,0.0
1.0,0.2222222222222222,0.02887939800691479,1.0,0.9811834051235548,0.0
1.0,0.2222222222222222,0.014236322961155175,1.0,0.9814101110859217,0.0
1.0,0.8888888888888888,0.034980679275981294,0.33333333333333337,0.1886193606891861,0.0
1.0,0.5555555555555556,0.022574740695546068,0.6875,0.8063931081387441,0.0
1.0,0.5555555555555556,0.057148667886922924,0.6875,0.7803219224665607,0.0
1.0,0.5555555555555556,0.029896278218425873,0.6875,0.8063931081387441,0.0
1.0,0.3333333333333333,0.09090909090909091,1.0,0.9825436408977557,0.0
1.0,0.3333333333333333,0.021557860484034984,1.0,0.9816368170482885,0.0
1.0,1.0,0.07484238356721579,0.4791666666666667,0.05622307866696896,1.0
1.0,0.8888888888888888,0.022167988610941634,0.33333333333333337,0.17479029698481074,0.0
0.0,0.1111111111111111,0.03009965426072809,1.0,0.9591929267739743,0.0
0.0,0.5555555555555556,1.0000000000000002,0.6875,0.8551348900476083,0.0
1.0,0.2222222222222222,0.03864144803742119,1.0,0.9811834051235548,0.0
1.0,0.3333333333333333,0.06914785438275371,1.0,0.9816368170482885,0.0
0.0,0.1111111111111111,0.01606670734187513,1.0,0.9823169349353889,0.0
0.0,0.0,0.09355297945901973,0.9375,0.9573792790750397,1.0
1.0,0.3333333333333333,0.034980679275981294,1.0,0.9816368170482885,0.0
0.0,0.0,0.01789709172259508,0.9375,0.9573792790750397,0.0
